,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
49,[WT1->-IDH2],"[8, 79, 87]","[8, 79, 87]",3,0.025,0.0059629629629629,3.676817558299039e-05,0.019037037037037,3.1395204361287923,0.0118518518518518,0.0086111111111111,4.390432098765432e-05,0.0163888888888888,2.4734086680868796,0.0333333333333333,,,,,
50,[SRSF2->-STAG2],"[9, 51, 90]","[9, 13, 20, 51, 90, 105]",3,0.025,0.0169560185185185,9.202661501200274e-05,0.0080439814814814,0.8385217619260846,0.3303934733072916,0.0224206349206349,0.0001008204207608,0.002579365079365,0.2568848919569543,0.5565476190476191,,,,,
51,[SRSF2->-STAG2 IDH2->-STAG2 IDH2->-SRSF2],"[9, 51]","[9, 51, 105]",2,0.0166666666666666,0.0009114583333333,7.171630859375e-06,0.0157552083333333,5.883221323748414,0.0029296875,0.0019841269841269,1.4251070798689847e-05,0.0146825396825396,3.889353651084511,0.0119047619047619,,,,,
52,[BCOR->-IDH1],"[23, 47, 86]","[11, 23, 47, 82, 86, 88, 94, 101]",3,0.025,0.0189791666666666,0.0001037478298611,0.0060208333333333,0.5911083507716304,0.4111205078125,0.0247222222222222,0.0001132330246913,0.0002777777777777,0.0261042334710433,0.6357812499999999,,,,,
53,[BCOR->-SRSF2],"[23, 47, 82]","[11, 23, 47, 82, 88, 96, 104]",3,0.025,0.0194583333333333,0.0001070581597222,0.0055416666666666,0.5355875984539288,0.42989916015625,0.0252777777777777,0.0001174382716049,-0.0002777777777777,-0.0256326007925506,0.6520724826388887,,,,,
54,[BCOR->-SRSF2 BCOR->-IDH1 IDH1->-SRSF2],"[23, 47]","[11, 23, 47, 82, 88]",2,0.0166666666666666,0.0021687499999999,1.6978120659722223e-05,0.0144979166666666,3.518526216297931,0.0235955078125,0.0052777777777777,3.753858024691358e-05,0.0113888888888888,1.85884181912564,0.1213348765432098,,,,,
55,[SETBP1->-SRSF2],"[27, 48, 72]","[13, 27, 30, 35, 48, 72, 76, 102, 118]",3,0.025,0.0242777777777777,0.0001338374807098,0.0007222222222222,0.0624283664028986,0.6009581787109377,0.0320833333333333,0.0001479359567901,-0.0070833333333333,-0.5823724303849276,0.821603732638889,,,,,
56,[SETBP1->-SRSF2 IDH2->-SETBP1 IDH2->-SRSF2],"[48, 72]","[30, 48, 72, 76, 102, 118]",2,0.0166666666666666,0.0024447916666666,1.9088336588541667e-05,0.0142218749999999,3.2551635587601195,0.030085840234375,0.005625,4.0311535493827165e-05,0.0110416666666666,1.7390816062261163,0.1369478202160493,,,,,
57,[SETBP1-/-SRSF2],"[30, 35, 118]","[13, 27, 30, 35, 48, 72, 76, 102, 118]",3,0.025,0.00825,4.9559027777777777e-05,0.01675,2.379323107276406,0.04453125,0.0108333333333333,5.70216049382716e-05,0.0141666666666666,1.87606532658316,0.0944444444444444,,,,,
58,[SETBP1-/-SRSF2 IDH2->-SETBP1 IDH2->-SRSF2],"[30, 118]","[30, 48, 72, 76, 102, 118]",2,0.0166666666666666,0.0018416666666666,1.41646875e-05,0.014825,3.93904736709443,0.01515625,0.0044444444444444,3.040123456790124e-05,0.0122222222222222,2.2166879761834646,0.0833333333333333,,,,,
59,[IDH2->-ASXL1 SRSF2->-ASXL1 KRAS->-ASXL1 IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[9, 119]","[9, 119]",2,0.0166666666666666,5.921875e-05,4.917188340928819e-07,0.0166074479166666,23.683423310670708,1.25e-05,0.0002182539682539,1.793194129503653e-06,0.0164484126984126,12.283166530742546,0.0001587301587301,,,,,
60,[ASXL1-/-ETV6 IDH2->-ASXL1 SRSF2->-ASXL1 SRSF2->-ETV6 IDH2->-ETV6 IDH2->-SRSF2],"[9, 119]","[9, 49, 119]",2,0.0166666666666666,0.0001125520833333,9.304743896484374e-07,0.0165541145833333,17.16144073544301,3.75e-05,0.0004960317460317,3.9536879566641465e-06,0.0161706349206349,8.132533808327057,0.0004761904761904,,,,,
61,[IDH2->-EZH2],"[81, 110]","[61, 81, 109, 110]",2,0.0166666666666666,0.0087613851095993,5.093126840145124e-05,0.0079052815570672,1.1077075006892685,0.2809637188208617,0.0111309523809523,5.831089380196523e-05,0.0055357142857142,0.7249345819152444,0.4094907407407408,,,,,
62,[IDH1->-PHF6],"[22, 115]","[22, 115]",2,0.0166666666666666,0.0044166666666666,2.7020833333333337e-05,0.01225,2.3566045906361883,0.07,0.0056944444444444,3.123070987654321e-05,0.0109722222222222,1.963376854304788,0.1166666666666666,,,,,
63,[JAK2-/-SRSF2],"[35, 59]","[32, 35, 59, 63, 100]",2,0.0166666666666666,0.0075467687074829,3.357207572654912e-05,0.0091198979591836,1.5739860613636734,0.1989795918367347,0.0093253968253968,3.373803224993701e-05,0.0073412698412698,1.2638959235175369,0.3095238095238095,,,,,
64,[IDH2->-FLT3 SRSF2->-FLT3 IDH2->-SRSF2],"[62, 110]","[62, 110]",2,0.0166666666666666,0.0011661807580174,9.03346205898714e-06,0.0155004859086491,5.157250186144573,0.0048619197783236,0.0019047619047619,1.4046359284454522e-05,0.0147619047619047,3.938769013954929,0.0129705215419501,,,,,
65,[IDH2->-CBL],"[104, 110]","[104, 110]",2,0.0166666666666666,0.0055646258503401,3.04861863112592e-05,0.0111020408163265,2.010718482438976,0.1085714285714285,0.0066865079365079,3.300225182665659e-05,0.0099801587301587,1.7372633658539045,0.1583333333333333,,,,,
66,[IDH1->-SMC3],"[23, 117]","[23, 59, 117]",2,0.0166666666666666,0.0072633219954648,4.1194928344542656e-05,0.0094033446712018,1.465077096821872,0.1998299319727891,0.0099206349206349,4.543020912068531e-05,0.0067460317460317,1.0008661759960884,0.3452380952380952,,,,,
67,[IDH2->-CSF3R],"[62, 116]","[33, 59, 62, 116]",2,0.0166666666666666,0.0078361205593348,4.820806718470856e-05,0.0088305461073318,1.271826010671354,0.2331783053357397,0.0100198412698412,5.616772171831695e-05,0.0066468253968253,0.8868922633587901,0.3480725623582767,,,,,
68,[NRAS->-CBL],"[50, 104]","[50, 104]",2,0.0166666666666666,0.0054583333333333,3.0276041666666668e-05,0.0112083333333333,2.037002167720414,0.105,0.0070833333333333,3.315972222222222e-05,0.0095833333333333,1.6642215921725698,0.175,,,,,
69,[STAG2->-SRSF2 IDH1->-STAG2 IDH1->-SRSF2],"[13, 20]","[13, 20, 90]",2,0.0166666666666666,0.0015625,1.220703125e-05,0.0151041666666666,4.323064756499593,0.01123046875,0.0041666666666666,2.8935185185185183e-05,0.0125,2.32379000772445,0.074074074074074,,,,,
70,[NPM1->-SRSF2],"[3, 59]","[1, 3, 11, 17, 58, 59, 114]",2,0.0166666666666666,0.0195966553287981,0.0001056393727889,-0.0029299886621315,-0.2850709958075141,0.7453769795918368,0.0253373015873015,0.0001140065980095,-0.0086706349206349,-0.8120558649560554,0.8877976190476191,,,,,
71,[FLT3-/-SRSF2 IDH1->-FLT3 IDH1->-SRSF2],"[52, 82]","[52, 82, 84]",2,0.0166666666666666,0.0013208333333333,1.0095677083333332e-05,0.0153458333333333,4.829728876053009,0.006,0.0030555555555555,2.075617283950617e-05,0.0136111111111111,2.9875827281634932,0.0333333333333333,,,,,
72,[GATA2-/-SRSF2],"[52, 81]","[1, 52, 81, 111]",2,0.0166666666666666,0.0075925925925925,3.930315500685871e-05,0.009074074074074,1.4474001494117312,0.2083555555555555,0.0094444444444444,4.135802469135802e-05,0.0072222222222222,1.123028953255768,0.3093333333333333,,,,,
73,[EZH2->-IDH2],"[61, 109]","[61, 81, 109, 110]",2,0.0166666666666666,0.0087613851095993,5.093126840145124e-05,0.0079052815570672,1.1077075006892685,0.2809637188208617,0.0111309523809523,5.831089380196523e-05,0.0055357142857142,0.7249345819152444,0.4094907407407408,,,,,
74,[FLT3->-EZH2],"[61, 110]","[61, 110]",2,0.0166666666666666,0.0058354591836734,3.140589117237031e-05,0.0108312074829931,1.9327305638197607,0.1211734693877551,0.0072420634920634,3.408249874023684e-05,0.0094246031746031,1.6143487416476203,0.1884920634920635,,,,,
75,[GATA2->-IDH1],"[14, 111]","[1, 14, 52, 111]",2,0.0166666666666666,0.0097592592592592,5.5042352537722904e-05,0.0069074074074074,0.9310362233682684,0.3345,0.0136111111111111,6.28858024691358e-05,0.0030555555555555,0.3853131942572324,0.5449999999999999,,,,,
76,[IDH2->-NPM1],"[17, 41]","[17, 41, 59]",2,0.0166666666666666,0.0072633219954648,4.1194928344542656e-05,0.0094033446712018,1.465077096821872,0.1998299319727891,0.0099206349206349,4.543020912068531e-05,0.0067460317460317,1.0008661759960884,0.3452380952380952,,,,,
77,[IDH1->-KIT],"[31, 46]","[31, 46]",2,0.0166666666666666,0.0052083333333333,2.9296875e-05,0.0114583333333333,2.116950987028628,0.09375,0.0083333333333333,3.472222222222222e-05,0.0083333333333333,1.4142135623730951,0.25,,,,,
78,[NRAS->-SMC3 IDH2->-SMC3 SRSF2->-SMC3 IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[9, 62]","[9, 62]",2,0.0166666666666666,7.76721721852006e-05,6.441726409959977e-07,0.0165889944944814,20.66897429530823,2.1150041649312785e-05,0.0002083333333333,1.7131794847568655e-06,0.0164583333333333,12.574317480573557,0.0001473922902494,,,,,
79,[STAG2->-KRAS],"[20, 51]","[9, 20, 51]",2,0.0166666666666666,0.0088541666666666,4.7471788194444445e-05,0.0078125,1.1338934190276817,0.287109375,0.0113095238095238,5.066609977324263e-05,0.0053571428571428,0.7526178090063818,0.4285714285714286,,,,,
80,[CSF3R-/-IDH2],"[33, 59]","[33, 59, 62, 116]",2,0.0166666666666666,0.0104190287226001,5.303698775165983e-05,0.0062476379440665,0.8578797740815944,0.3681220787634782,0.0132936507936507,5.767353237591333e-05,0.0033730158730158,0.4441504526321895,0.5328798185941044,,,,,
