,p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy,MASTRO_alteration_precision,MASTRO_alteration_recall,MASTRO_expanded_dependency_precision,MASTRO_expanded_dependency_recall,MASTRO_expanded_dependency_accuracy,PhyloPath_expanded_dependency_precision,PhyloPath_expanded_dependency_recall,PhyloPath_expanded_dependency_accuracy,our_ilp_max_2_alt_alteration_f1,our_ilp_no_max_alt_alteration_f1,MASTRO_alteration_f1,MASTRO_expanded_dependency_f1,PhyloPath_expanded_dependency_f1
29,0.5,0.8,10,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0,,0.45454545454545453,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.7692307692307693,0.625,0.4210526315789474,1.0
30,0.5,0.8,11,1.0,1.0,1.0,1.0,1.0,0.3846153846153846,0.0,0.0,,0.7142857142857143,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555555,0.8333333333333333,0.5714285714285715,1.0
31,0.5,0.8,12,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,,0.8333333333333334,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.9090909090909091,0.6153846153846153,1.0
32,0.5,0.8,13,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,,0.5,1.0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736841,0.6666666666666666,0.34782608695652173,1.0
33,0.5,0.8,14,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.4545454545454545,0.0,0.0,,0.4166666666666667,1.0,0.18181818181818182,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.6249999999999999,0.5882352941176471,0.3076923076923077,0.7499999999999999
34,0.5,0.8,15,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,,0.5555555555555556,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.47619047619047616,0.7142857142857143,0.4210526315789474,1.0
35,0.5,0.8,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.3571428571428571,0.0,0.0,,0.7142857142857143,1.0,0.36363636363636365,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.5263157894736841,0.8333333333333333,0.5333333333333333,0.7499999999999999
36,0.5,0.8,17,1.0,1.0,1.0,1.0,1.0,0.3846153846153846,0.0,0.0,,0.7142857142857143,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555555,0.8333333333333333,0.4210526315789474,1.0
37,0.5,0.8,18,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,0.7142857142857143,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333333,0.47058823529411764,1.0
38,0.5,0.8,19,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,0.7142857142857143,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333333,0.4,1.0
39,0.5,0.8,20,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,,0.8333333333333334,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.9090909090909091,0.5333333333333333,1.0
40,0.5,1.0,1,1.0,1.0,1.0,1.0,1.0,0.3846153846153846,0.0,0.0,<NOT_DONE>,0.45454545454545453,1.0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555555,0.625,0.34782608695652173,1.0
41,0.5,1.0,2,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.5,0.3333333333333333,0.0,<NOT_DONE>,0.5,1.0,0.25,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.4,0.7499999999999999
42,0.5,1.0,3,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.5,0.3333333333333333,0.0,<NOT_DONE>,0.625,1.0,0.23529411764705882,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.6666666666666666,0.7692307692307693,0.38095238095238093,0.7499999999999999
43,0.5,1.0,4,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,<NOT_DONE>,0.625,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.7692307692307693,0.47058823529411764,1.0
44,0.5,1.0,5,1.0,1.0,1.0,1.0,1.0,0.4545454545454545,0.3333333333333333,0.0,<NOT_DONE>,0.5,1.0,0.23529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,0.6249999999999999,0.6666666666666666,0.38095238095238093,1.0
45,0.5,1.0,6,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,,0.625,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.7692307692307693,0.4210526315789474,1.0
46,0.5,1.0,7,1.0,1.0,1.0,1.0,1.0,0.3846153846153846,0.0,0.0,,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555555,0.6666666666666666,0.4444444444444445,1.0
47,0.5,1.0,8,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.4166666666666667,1.0,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5882352941176471,0.32,1.0
