p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy
0.5,1.0,2,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.5,0.3333333333333333,0.0,<NOT_DONE>
0.5,1.0,3,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.5,0.3333333333333333,0.0,<NOT_DONE>
0.5,1.0,4,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,<NOT_DONE>
0.5,1.0,5,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.3333333333333333,0.0,<NOT_DONE>
0.5,0.8,1,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,<NOT_DONE>
0.5,0.8,2,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.29411764705882354,0.0,0.0,<NOT_DONE>
0.5,0.8,3,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.35714285714285715,0.0,0.0,<NOT_DONE>
0.5,0.8,4,1.0,1.0,1.0,1.0,1.0,0.29411764705882354,0.0,0.0,<NOT_DONE>
0.5,0.8,5,1.0,1.0,1.0,1.0,1.0,0.2631578947368421,0.0,0.0,<NOT_DONE>
0.5,0.5,1,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.21052631578947367,0.0,0.0,<NOT_DONE>
0.5,0.5,2,1.0,1.0,1.0,1.0,0.6,0.14285714285714285,0.0,0.0,<NOT_DONE>
0.5,0.5,3,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.2777777777777778,0.0,0.0,<NOT_DONE>
0.5,0.5,4,1.0,1.0,1.0,1.0,1.0,0.23809523809523808,0.0,0.0,<NOT_DONE>
0.5,0.5,5,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.21739130434782608,0.0,0.0,<NOT_DONE>
